address	zip	city	state	price	sq_feet	beds	baths	sell_date
13503 Linden Ave N # 217C	98133	Seattle	WA	350000	1260	2	2	December  5, 2016
910 6th Ave N	98109	Seattle	WA	920000	1879	3	2	December  5, 2016
7729 20th Ave SW	98106	Seattle	WA	600000	2300	4	3	December  5, 2016
2526 NE 82nd St	98115	Seattle	WA	575000	1346	4	2	December  5, 2016
610 NW 47th St	98107	Seattle	WA	570000	730	2	1	December  5, 2016
100 1st Ave S Apt 18	98104	Seattle	WA	805000	1223	1	1+	December  5, 2016
829 19th Ave S # A	98144	Seattle	WA	560000	1770	3	2+	December  5, 2016
829 19th Ave S	98144	Seattle	WA	560000	1831	3	2+	December  5, 2016
2746 60th Ave SW Apt 2	98116	Seattle	WA	400000	1023	2	1+	December  5, 2016
3213 Harbor Ave SW Unit 113	98126	Seattle	WA	262000	715	1	1	December  5, 2016
700 N 160th St Apt A304	98133	Shoreline	WA	251000	862	2	2	December  5, 2016
16018 42nd Ave S	98188	Tukwila	WA	275000	1800	4	2	December  5, 2016
2047 13th Ave W	98119	Seattle	WA	935000				December  5, 2016
Bothell Way	98155	Lake Forest Park	WA	90000				December  5, 2016
5727 30th Ave NE	98105	Seattle	WA	1816773	5000	6	4+	December  5, 2016
13535 8th Ave NW	98177	Seattle	WA	1875000	3240	4	3	December  5, 2016
1301 Spring St Apt 21G	98104	Seattle	WA	1425000	1560	2	2	December  5, 2016
800 NW 62nd St	98107	Seattle	WA	1425000	3890			December  5, 2016
1105 NW Norcross Way	98177	Seattle	WA	1110000	3280	5	3	December  5, 2016
5421 34th Ave NW	98107	Seattle	WA	824350	2200	4	3	December  5, 2016
2445 34th Ave W	98199	Seattle	WA	750000	1660	4	1+	December  5, 2016
3903 42nd Ave S	98118	Seattle	WA	727000	2030	3	2	December  5, 2016
844 NE 59th St	98105	Seattle	WA	720000	1110	2	1	December  5, 2016
3431 21st Ave W # B	98199	Seattle	WA	684000	1320	2	3	December  5, 2016
7834 Lake City Way NE	98115	Seattle	WA	660000	850	2	2	December  5, 2016
4414 50th Ave S	98118	Seattle	WA	575000	2560	3	2+	December  5, 2016
2724 S Elmwood Pl	98144	Seattle	WA	532500	1470	3	2+	December  5, 2016
12530 26th Ave NE Apt A	98125	Seattle	WA	418000	1320	3	2+	December  5, 2016
9311 30th Ave SW	98126	Seattle	WA	385000	700	2	1	December  5, 2016
2850 NW 73rd St	98117	Seattle	WA	290572	2090	3	1+	December  5, 2016
25127 12th Ave S	98198	Des Moines	WA	278000	1060	3	2	December  5, 2016
10813 26th Ave SW	98146	Seattle	WA	190000	770	2	1	December  5, 2016
903 N 130th St Apt 202	98133	Seattle	WA	169500	703	1	1	December  5, 2016
2521 38th Ave W	98199	Seattle	WA	2160000	4670	4	3	December  2, 2016
7748 31st Ave NW	98117	Seattle	WA	1457500	3660	5	3+	December  2, 2016
9008 9th Ave NW	98117	Seattle	WA	1100000	2700	4	2+	December  2, 2016
180 McGraw Pl	98109	Seattle	WA	895000	1890	3	1+	December  2, 2016
3422 28th Ave W	98199	Seattle	WA	714000	2640	3	2	December  2, 2016
111 27th Ave S	98144	Seattle	WA	710000	2559	3	3	December  2, 2016
12235 4th Ave NW	98177	Seattle	WA	646500	3130	5	3	December  2, 2016
7137 35th Ave SW	98126	Seattle	WA	612500	2960	3	1+	December  2, 2016
17231 Ambaum Blvd S	98148	Burien	WA	550000	3536	5	2+	December  2, 2016
3911 4th Ave NE	98105	Seattle	WA	985000	2740	3	3	December  2, 2016
5006 42nd Ave SW	98136	Seattle	WA	655000	2200	4	2	December  2, 2016
1518 NW 87th St	98117	Seattle	WA	600000	1748	3	2	December  2, 2016
2100 3rd Ave Apt 602	98121	Seattle	WA	555000	1323	2	2	December  2, 2016
2165 N 161st Pl	98133	Shoreline	WA	575000	2720	4	3	December  2, 2016
823 S 240th St	98198	Des Moines	WA	735000	3796	5	4	December  2, 2016
734 25th Ave S	98144	Seattle	WA	729000	1818	3	2	December  2, 2016
4008 NE 87th St	98115	Seattle	WA	718500	1440	3	2	December  2, 2016
15220 Dayton Ave N	98133	Shoreline	WA	687800	2780	5	3	December  2, 2016
19544 15th Ave NW	98177	Shoreline	WA	490000	1840	4	2	December  2, 2016
114 W McGraw St	98119	Seattle	WA	950000	2190	3	3	December  2, 2016
3709 Corliss Ave N	98103	Seattle	WA	740000	2960	4	2	December  2, 2016
17507 North Park Pl N	98133	Shoreline	WA	599750	1919	3	2+	December  2, 2016
1238 NW Blakely Ct	98177	Seattle	WA	1688880	2890	3	2+	December  2, 2016
11537 34th Ave NE	98125	Seattle	WA	615000	2380	4	3	December  2, 2016
625 S 240th St	98198	Des Moines	WA	825000				December  2, 2016
